Edges count:,2112
Element count:,1024
¹,q,q*,|q - q*|
197,1.62760e-01,1.61895e-01,8.64570e-04
198,1.62760e-01,1.61895e-01,8.64746e-04
199,1.62760e-01,1.61895e-01,8.64691e-04
200,1.62760e-01,1.61895e-01,8.64736e-04
201,1.62760e-01,1.61895e-01,8.64674e-04
202,1.62760e-01,1.61895e-01,8.64733e-04
203,1.62760e-01,1.61895e-01,8.64703e-04
204,1.62760e-01,1.61895e-01,8.64685e-04
205,1.62760e-01,1.61895e-01,8.64705e-04
206,1.62760e-01,1.61895e-01,8.64685e-04
207,1.62760e-01,1.61895e-01,8.64675e-04
208,1.62760e-01,1.61895e-01,8.64691e-04
209,1.62760e-01,1.61895e-01,8.64693e-04
210,1.62760e-01,1.61895e-01,8.64675e-04
211,1.62760e-01,1.61895e-01,8.64669e-04
212,1.62760e-01,1.61895e-01,8.64694e-04
213,1.62760e-01,1.61895e-01,8.64731e-04
214,1.62760e-01,1.61895e-01,8.64743e-04
215,1.62760e-01,1.61895e-01,8.64712e-04
216,1.62760e-01,1.61895e-01,8.64678e-04
217,1.62760e-01,1.61895e-01,8.64687e-04
218,1.62760e-01,1.61895e-01,8.64725e-04
219,1.62760e-01,1.61895e-01,8.64700e-04
220,1.62760e-01,1.61895e-01,8.64691e-04
221,1.62760e-01,1.61895e-01,8.64685e-04
222,1.62760e-01,1.61895e-01,8.64821e-04
223,1.62760e-01,1.61895e-01,8.64651e-04
224,1.62760e-01,1.61895e-01,8.64760e-04
225,1.62760e-01,1.61895e-01,8.64587e-04
226,1.62760e-01,1.61895e-01,8.64763e-04
227,2.79415e-01,2.79415e-01,1.02525e-09
228,6.09224e-01,6.11682e-01,2.45809e-03
229,8.54677e-01,8.58934e-01,4.25762e-03
230,9.81560e-01,9.86808e-01,5.24748e-03
231,9.72171e-01,9.77530e-01,5.35891e-03
232,8.27767e-01,8.32391e-01,4.62323e-03
233,5.68387e-01,5.71561e-01,3.17478e-03
234,2.30057e-01,2.31294e-01,1.23704e-03
235,-1.40214e-01,-1.41120e-01,9.05621e-04
236,-4.90975e-01,-4.93920e-01,2.94499e-03
237,-7.73483e-01,-7.78073e-01,4.59049e-03
238,-9.48477e-01,-9.54086e-01,5.60850e-03
239,-9.91641e-01,-9.97495e-01,5.85416e-03
240,-8.96977e-01,-9.02268e-01,5.29094e-03
241,-6.77643e-01,-6.81639e-01,3.99543e-03
242,-3.64126e-01,-3.66273e-01,2.14646e-03
243,1.57027e-08,0.00000e+00,1.57027e-08
244,3.64126e-01,3.66273e-01,2.14643e-03
245,6.77643e-01,6.81639e-01,3.99540e-03
246,8.96977e-01,9.02268e-01,5.29091e-03
247,9.91641e-01,9.97495e-01,5.85413e-03
248,9.48477e-01,9.54086e-01,5.60847e-03
249,7.73483e-01,7.78073e-01,4.59044e-03
250,4.90975e-01,4.93920e-01,2.94494e-03
251,1.40214e-01,1.41120e-01,9.05587e-04
252,-2.30057e-01,-2.31294e-01,1.23706e-03
253,-5.68387e-01,-5.71561e-01,3.17481e-03
254,-8.27767e-01,-8.32391e-01,4.62325e-03
255,-9.72171e-01,-9.77530e-01,5.35889e-03
256,-9.81560e-01,-9.86808e-01,5.24748e-03
257,-8.54677e-01,-8.58934e-01,4.25748e-03
258,-6.09224e-01,-6.11682e-01,2.45827e-03
259,-2.79415e-01,-2.79415e-01,1.82036e-09
260,-2.08320e-01,-2.10796e-01,2.47619e-03
